Name,Designation
Tarek Abdelzaher,Sohaib and Sara Abbasi Professor and Willett Faculty Scholar
Sarita V. Adve,Richard T. Cheng Professor
Vikram Adve,Donald B. Gillies Professor in Computer Science
Saksham Agarwal,Department Affiliate
Gul A. Agha,Research Professor and Professor Emeritus
Narendra Ahuja,Research Professor
Ram Alagappan,Assistant Professor
Abdussalam Alawini,Teaching Associate Professor
Nancy M. Amato,Abel Bliss Professor of Engineering and School Director
Eyal Amir,Associate Professor
